stock_code,code,name,market,sector,industry
1337.TW,1337,再生,上市,Basic Materials,Others
1338.TW,1338,廣華,上市,Basic Materials,Others
1339.TW,1339,昭輝,上市,Basic Materials,Others
1340.TW,1340,勝悅,上市,Basic Materials,Others
1341.TW,1341,富林,上市,Basic Materials,Others
1434.TW,1434,福懋,上市,Consumer Goods,Others
1436.TW,1436,華友聯,上市,Consumer Goods,Others
1437.TW,1437,勤益控,上市,Consumer Goods,Others
1438.TW,1438,裕豐,上市,Consumer Goods,Others
1439.TW,1439,中和,上市,Consumer Goods,Others
1440.TW,1440,南紡,上市,Consumer Goods,Others
1441.TW,1441,大東,上市,Consumer Goods,Others
1442.TW,1442,名軒,上市,Consumer Goods,Others
1443.TW,1443,立益,上市,Consumer Goods,Others
1444.TW,1444,力麗,上市,Consumer Goods,Others
1445.TW,1445,大宇,上市,Consumer Goods,Others
1446.TW,1446,宏和,上市,Consumer Goods,Others
1447.TW,1447,力鵬,上市,Consumer Goods,Others
1449.TW,1449,佳和,上市,Consumer Goods,Others
1451.TW,1451,年興,上市,Consumer Goods,Others
1452.TW,1452,宏益,上市,Consumer Goods,Others
1453.TW,1453,大將,上市,Consumer Goods,Others
1454.TW,1454,台富,上市,Consumer Goods,Others
1455.TW,1455,集盛,上市,Consumer Goods,Others
1456.TW,1456,怡華,上市,Consumer Goods,Others
1457.TW,1457,宜進,上市,Consumer Goods,Others
1459.TW,1459,聯發,上市,Consumer Goods,Others
1460.TW,1460,宏遠,上市,Consumer Goods,Others
1463.TW,1463,強盛,上市,Consumer Goods,Others
1464.TW,1464,得力,上市,Consumer Goods,Others
1465.TW,1465,偉全,上市,Consumer Goods,Others
1466.TW,1466,聚隆,上市,Consumer Goods,Others
1467.TW,1467,南緯,上市,Consumer Goods,Others
1468.TW,1468,昶和,上市,Consumer Goods,Others
1469.TW,1469,聯聚,上市,Consumer Goods,Others
1470.TW,1470,大統新創,上市,Consumer Goods,Others
1471.TW,1471,首利,上市,Consumer Goods,Others
1472.TW,1472,三洋紡,上市,Consumer Goods,Others
1473.TW,1473,台南,上市,Consumer Goods,Others
1474.TW,1474,弘裕,上市,Consumer Goods,Others
1475.TW,1475,本盟,上市,Consumer Goods,Others
1476.TW,1476,儒鴻,上市,Consumer Goods,Others
1477.TW,1477,聚陽,上市,Consumer Goods,Others
1503.TW,1503,士電,上市,Industrials,Others
1504.TW,1504,東元,上市,Industrials,Others
1506.TW,1506,正道,上市,Industrials,Others
1507.TW,1507,永大,上市,Industrials,Others
1512.TW,1512,瑞利,上市,Industrials,Others
1513.TW,1513,中興電,上市,Industrials,Others
1514.TW,1514,亞力,上市,Industrials,Others
1515.TW,1515,力山,上市,Industrials,Others
1516.TW,1516,川飛,上市,Industrials,Others
1517.TW,1517,利奇,上市,Industrials,Others
1519.TW,1519,華城,上市,Industrials,Others
1521.TW,1521,大億,上市,Industrials,Others
1522.TW,1522,堤維西,上市,Industrials,Others
1524.TW,1524,耿鼎,上市,Industrials,Others
1525.TW,1525,江申,上市,Industrials,Others
1526.TW,1526,日馳,上市,Industrials,Others
1527.TW,1527,鑽全,上市,Industrials,Others
1528.TW,1528,恩德,上市,Industrials,Others
1529.TW,1529,樂士,上市,Industrials,Others
1530.TW,1530,亞崴,上市,Industrials,Others
1531.TW,1531,高林股,上市,Industrials,Others
1532.TW,1532,勤美,上市,Industrials,Others
1533.TW,1533,車王電,上市,Industrials,Others
1535.TW,1535,中宇,上市,Industrials,Others
1536.TW,1536,和大,上市,Industrials,Others
1537.TW,1537,廣隆,上市,Industrials,Others
1538.TW,1538,正峰新,上市,Industrials,Others
1539.TW,1539,巨庭,上市,Industrials,Others
1540.TW,1540,喬友,上市,Industrials,Others
1541.TW,1541,錩泰,上市,Industrials,Others
1558.TW,1558,伸興,上市,Industrials,Others
1560.TW,1560,中砂,上市,Industrials,Others
1568.TW,1568,倉佑,上市,Industrials,Others
1582.TW,1582,信錦,上市,Industrials,Others
1583.TW,1583,程泰,上市,Industrials,Others
1587.TW,1587,吉茂,上市,Industrials,Others
1589.TW,1589,永冠,上市,Industrials,Others
1590.TW,1590,亞德客,上市,Industrials,Others
1592.TW,1592,英瑞,上市,Industrials,Others
1593.TW,1593,祺驊,上市,Industrials,Others
1598.TW,1598,岱宇,上市,Industrials,Others
1603.TW,1603,華電,上市,Technology Hardware,Others
1604.TW,1604,聲寶,上市,Technology Hardware,Others
1605.TW,1605,華新,上市,Technology Hardware,Others
1608.TW,1608,華榮,上市,Technology Hardware,Others
1609.TW,1609,大亞,上市,Technology Hardware,Others
1611.TW,1611,中電,上市,Technology Hardware,Others
1612.TW,1612,宏泰,上市,Technology Hardware,Others
1614.TW,1614,三洋電,上市,Technology Hardware,Others
1615.TW,1615,大山,上市,Technology Hardware,Others
1616.TW,1616,億泰,上市,Technology Hardware,Others
1617.TW,1617,榮星,上市,Technology Hardware,Others
1701.TW,1701,中化,上市,Healthcare,Others
1702.TW,1702,南僑,上市,Healthcare,Others
1707.TW,1707,葡萄王,上市,Healthcare,Others
1708.TW,1708,東鹼,上市,Healthcare,Others
1709.TW,1709,和益,上市,Healthcare,Others
1710.TW,1710,東聯,上市,Healthcare,Others
1711.TW,1711,永光,上市,Healthcare,Others
1712.TW,1712,興農,上市,Healthcare,Others
1713.TW,1713,國化,上市,Healthcare,Others
1714.TW,1714,和桐,上市,Healthcare,Others
1717.TW,1717,長興,上市,Healthcare,Others
1718.TW,1718,中纖,上市,Healthcare,Others
1720.TW,1720,生達,上市,Healthcare,Others
1721.TW,1721,三晃,上市,Healthcare,Others
1722.TW,1722,台肥,上市,Healthcare,Others
1723.TW,1723,中碳,上市,Healthcare,Others
1724.TW,1724,台硝,上市,Healthcare,Others
1725.TW,1725,元禎,上市,Healthcare,Others
1726.TW,1726,永記,上市,Healthcare,Others
1727.TW,1727,中華化,上市,Healthcare,Others
1730.TW,1730,花仙子,上市,Healthcare,Others
1731.TW,1731,美吾華,上市,Healthcare,Others
1732.TW,1732,毛寶,上市,Healthcare,Others
1733.TW,1733,五鼎,上市,Healthcare,Others
1734.TW,1734,杏輝,上市,Healthcare,Others
1735.TW,1735,日勝化,上市,Healthcare,Others
1736.TW,1736,喬山,上市,Healthcare,Others
1737.TW,1737,臺鹽,上市,Healthcare,Others
1760.TW,1760,寶齡富錦,上市,Healthcare,Others
1762.TW,1762,中化生,上市,Healthcare,Others
1773.TW,1773,勝一,上市,Healthcare,Others
1776.TW,1776,展宇,上市,Healthcare,Others
1777.TW,1777,生泰,上市,Healthcare,Others
1783.TW,1783,和康生,上市,Healthcare,Others
1786.TW,1786,科妍,上市,Healthcare,Others
1789.TW,1789,神隆,上市,Healthcare,Others
1795.TW,1795,美時,上市,Healthcare,Others
2002.TW,2002,中鋼,上市,Basic Materials,Others
2006.TW,2006,東和鋼鐵,上市,Basic Materials,Others
2007.TW,2007,燁興,上市,Basic Materials,Others
2008.TW,2008,高興昌,上市,Basic Materials,Others
2009.TW,2009,第一銅,上市,Basic Materials,Others
2010.TW,2010,春源,上市,Basic Materials,Others
2012.TW,2012,春雨,上市,Basic Materials,Others
